Filename,Temp. (K),Gamma,nu,nu_z,Viscosity,Grid size,M,C. rad. (mu m),# tip GPs,DT mult.,mubar,Adaptivity,Initial chi,Host,,,,,,,,
th680c,680,1.00E-08,1.00E+08,2,0.005,513,7,1.50E-04,73.1,20000000,0.1,0.005,0.03,Derwent,,,,,,,,
th600d,600,1.00E-08,1.00E+08,2,0.005,513,7,1.50E-04,73.1,20000000,0.1,0.005,0.042,Odra,,,,,,,,
th640d,640,1.00E-08,1.00E+08,2,0.005,513,7,1.50E-04,73.1,20000000,0.1,0.005,0.042,Odra,,,,,,,,
th680d,680,1.00E-08,1.00E+08,2,0.005,513,7,1.50E-04,73.1,20000000,0.1,0.005,0.042,Odra,,,,,,,,
th600e,600,1.00E-08,1.00E+08,2,0.005,513,7,1.50E-04,73.1,20000000,0.1,0.005,0.046,Odra,,,,,,,,
th640e,640,1.00E-08,1.00E+08,2,0.005,513,7,1.50E-04,73.1,20000000,0.1,0.005,0.046,Yuba,,,,,,,,
th680e,680,1.00E-08,1.00E+08,2,0.005,513,7,1.50E-04,73.1,20000000,0.1,0.005,0.046,Yuba,,,,,,,,
th560e,560,1.00E-08,1.00E+08,2,0.005,513,7,1.50E-04,73.1,20000000,0.1,0.005,0.046,Odra,,,,,,,,
th520e,520,1.00E-08,1.00E+08,2,0.005,513,7,1.50E-04,73.1,20000000,0.1,0.005,0.046,Odra,,,,,,,,
th480e,480,1.00E-08,1.00E+08,2,0.005,513,7,1.50E-04,73.1,20000000,0.1,0.005,0.046,Odra,,,,,,,,
th600f,600,1.00E-08,1.00E+08,2,0.005,513,15,1.50E-04,34.1,20000000,0.1,0.005,0.042,Yuba,,,,,,,,
th640f,640,1.00E-08,1.00E+08,2,0.005,513,15,1.50E-04,34.1,20000000,0.1,0.005,0.042,Yuba,,,,,,,,
th600g,600,1.00E-08,1.00E+08,2,0.005,513,7,1.50E-04,73.1,10000000,0.1,0.005,0.042,Jordan,,,,,,,,
th640g,640,1.00E-08,1.00E+08,2,0.005,513,7,1.50E-04,73.1,10000000,0.1,0.005,0.042,Jordan,,,,,,,,
th600h,600,1.00E-08,1.00E+08,2,0.005,513,7,1.50E-04,73.1,40000000,0.1,0.005,0.042,Jordan,,,,,,,,
th640h,640,1.00E-08,1.00E+08,2,0.005,513,7,1.50E-04,73.1,40000000,0.1,0.005,0.042,Jordan,,,,,,,,
th600i,600,1.00E-08,1.00E+08,2,0.005,513,7,1.50E-04,73.1,20000000,0.12,0.005,0.042,Derwent,,,,,,,,
th640i,640,1.00E-08,1.00E+08,2,0.005,513,7,1.50E-04,73.1,20000000,0.12,0.005,0.042,Derwent,,,,,,,,
th600j,600,1.00E-08,1.00E+08,2,0.005,513,7,1.50E-04,73.1,20000000,0.08,0.005,0.042,Odra,,,,,,,,
th640j,640,1.00E-08,1.00E+08,2,0.005,513,7,1.50E-04,73.1,20000000,0.08,0.005,0.042,Odra,,,,,,,,
th600k,600,1.00E-08,1.00E+08,2,0.005,385,7,1.50E-04,54.9,20000000,0.1,0.005,0.042,Po,,,,,,,,
th640k,640,1.00E-08,1.00E+08,2,0.005,385,7,1.50E-04,54.9,20000000,0.1,0.005,0.042,Po,,,,,,,,
mt600,600,1.00E-08,1.00E+08,2,0.005,513,9,1.50E-04,56.9,20000000,0.08,0.005,0.042,Odra,II,,,,,,,
mt620,620,1.00E-08,1.00E+08,2,0.005,513,9,1.50E-04,56.9,20000000,0.08,0.005,0.042,Odra,II,,,,,,,
mt640,640,1.00E-08,1.00E+08,2,0.005,513,9,1.50E-04,56.9,20000000,0.08,0.005,0.042,Yuba,II,,,,,,,
mt680,680,1.00E-08,1.00E+08,2,0.005,513,9,1.50E-04,56.9,20000000,0.08,0.005,0.042,Merced,II,,,,,,,
mt600b,600,1.00E-08,1.00E+08,2,0.005,513,7,1.50E-04,73.1,20000000,0.08,0.005,0.042,Derwent,II,,,,,,,
mt620b,620,1.00E-08,1.00E+08,2,0.005,513,7,1.50E-04,73.1,20000000,0.08,0.005,0.042,Derwent,II,,,,,,,
mt640b,640,1.00E-08,1.00E+08,2,0.005,513,7,1.50E-04,73.1,20000000,0.08,0.005,0.042,Derwent,II,,,,,,,
mt600c,600,1.00E-07,1.00E+08,2,0.005,513,7,1.50E-04,73.1,2000000,0.1,0.005,0.042,Yuba,II,,,,,,,
mt620c,620,1.00E-07,1.00E+08,2,0.005,513,7,1.50E-04,73.1,2000000,0.1,0.005,0.042,Yuba,II,,,,,,,
mt640c,640,1.00E-07,1.00E+08,2,0.005,513,7,1.50E-04,73.1,2000000,0.1,0.005,0.042,Yuba,II,,,,,,,
iv600,600,1.00E-08,1.00E+08,2,0.005,513,7,1.50E-04,73.1,20000000,0.1,0.005,0.042,Merced,Init void,,,,,,,
iv620,620,1.00E-08,1.00E+08,2,0.005,513,7,1.50E-04,73.1,20000000,0.1,0.005,0.042,Merced,Init void,,,,,,,
iv640,640,1.00E-08,1.00E+08,2,0.005,513,7,1.50E-04,73.1,20000000,0.1,0.005,0.042,Odra,Init void,,,,,,,
sc600,600,5.00E-08,1.00E+08,2,0.005,513,9,1.50E-04,56.9,20000000,0.1,0.005,0.042,Odra,II,,,,,,,
sc620,620,5.00E-08,1.00E+08,2,0.005,513,9,1.50E-04,56.9,20000000,0.1,0.005,0.042,Odra,II,,,,,,,
sc640,640,5.00E-08,1.00E+08,2,0.005,513,9,1.50E-04,56.9,20000000,0.1,0.005,0.042,Odra,II,,,,,,,
sc680,680,5.00E-08,1.00E+08,2,0.005,513,9,1.50E-04,56.9,20000000,0.1,0.005,0.042,Odra,II,,,,,,,
sc600b,600,5.00E-08,1.00E+08,2,0.005,513,9,1.50E-04,56.9,20000000,0.1,0.005,0.042,Jordan,,,,,,,,
sc620b,620,5.00E-08,1.00E+08,2,0.005,513,9,1.50E-04,56.9,20000000,0.1,0.005,0.042,Derwent,(+chr),,,,,,,
sc640b,640,5.00E-08,1.00E+08,2,0.005,513,9,1.50E-04,56.9,20000000,0.1,0.005,0.042,Jordan,,,,,,,,
sc680b,680,5.00E-08,1.00E+08,2,0.005,513,9,1.50E-04,56.9,20000000,0.1,0.005,0.042,Jordan,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
